{'Dense_Out': {'bias': 0.05, 'kernel': 1.94}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.04, 'kernel': 0.02}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.04, 'kernel': 0.09}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.08, 'kernel': 0.98}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.02, 'kernel': 0.51}}}, 0.42641139030456543
{'Dense_Out': {'bias': 0.04, 'kernel': 1.77}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.05, 'kernel': 0.05}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.04, 'kernel': 0.11}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.44}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.06, 'kernel': 1.32}}}, 0.4743419885635376
{'Dense_Out': {'bias': 0.02, 'kernel': 0.95}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.06, 'kernel': 0.04}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.05, 'kernel': 0.18}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.12, 'kernel': 1.36}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.06, 'kernel': 1.42}}}, 0.34648799896240234
{'Dense_Out': {'bias': 0.05, 'kernel': 2.29}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.11, 'kernel': 0.09}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.09, 'kernel': 0.25}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.16, 'kernel': 1.86}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.08, 'kernel': 1.9}}}, 0.41481590270996094
{'Dense_Out': {'bias': 0.03, 'kernel': 1.29}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.06, 'kernel': 0.05}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.05, 'kernel': 0.1}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.59}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.01, 'kernel': 0.81}}}, 0.31137603521347046
{'Dense_Out': {'bias': 0.04, 'kernel': 1.44}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.06, 'kernel': 0.09}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.07, 'kernel': 0.24}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.09, 'kernel': 0.93}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.13, 'kernel': 3.76}}}, 0.4827517569065094
{'Dense_Out': {'bias': 0.04, 'kernel': 1.64}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.04, 'kernel': 0.03}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.05, 'kernel': 0.16}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.06, 'kernel': 0.62}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 0.71}}}, 0.47042006254196167
{'Dense_Out': {'bias': 0.05, 'kernel': 1.81}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.1, 'kernel': 0.07}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.09, 'kernel': 0.26}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.12, 'kernel': 1.44}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 0.73}}}, 0.4534461200237274
{'Dense_Out': {'bias': 0.05, 'kernel': 2.02}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.09, 'kernel': 0.09}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.09, 'kernel': 0.17}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.06, 'kernel': 0.45}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.02, 'kernel': 0.54}}}, 0.4197174906730652
{'Dense_Out': {'bias': 0.05, 'kernel': 1.89}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.06, 'kernel': 0.04}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.05, 'kernel': 0.13}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.52}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 0.61}}}, 0.4714844822883606
{'Dense_Out': {'bias': 0.05, 'kernel': 2.14}, 'HeinsenMinGRULayer_0': {'Dense_x': {'bias': 0.06, 'kernel': 0.05}}, 'HeinsenMinGRULayer_1': {'Dense_x': {'bias': 0.04, 'kernel': 0.1}}, 'HeinsenMinGRULayer_2': {'Dense_x': {'bias': 0.05, 'kernel': 0.48}}, 'HeinsenMinGRULayer_3': {'Dense_x': {'bias': 0.03, 'kernel': 0.76}}}, 0.4345081150531769
